"OFC","Motor","Rstr","SSctx","Cstr","Amyg","VisIp","VisC","AudC","Thal","Tect"
0,0,0,0,0,0,0,0,183.040540540541,0,0
0,0,0,0,2.54605263157895,0,0,0,274.560810810811,0,0
0,0,4.07368421052632,0,7.63815789473684,1.83412322274882,0,0,0,76.2272727272727,40.4705882352941
0,0,0,0,0,0,0,0,0,1127.77272727273,32.8823529411765
0,0,0,0,0,0,0,0,44.4527027027027,0,0
0,0,0,0,2.54605263157895,0,0,0,115.054054054054,0,0
0,0,0,0,0,0,1.57959183673469,0,2.61486486486486,697.772727272727,541.294117647059
0,0,0,0,5.09210526315789,0,0,0,1132.23648648649,0,0
0,0,0,0,0,0,0,0,0,351.818181818182,0
0,0,0,0,0,0,0,0,0,285.363636363636,0
0,0,0,0,0,0,0,0,0,557.045454545455,0
1,0,0,1.97448979591837,0,0,0,0,0,629.363636363636,258
1,0,2.03684210526316,0,50.9210526315789,1.83412322274882,0,0,0,228.681818181818,43
0,0,0,0,56.0131578947368,0,0,0,0,23.4545454545455,7.58823529411765
0,0,4.07368421052632,0,81.4736842105263,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,25.4090909090909,2.52941176470588
0,0,0,0,0,0,0,0,0,172,0
0,0,0,0,17.8223684210526,0,0,0,125.513513513514,0,0
0,0,2.03684210526316,0,45.828947368421,0,0,0,313.783783783784,0,0
0,0,4.07368421052632,0,160.401315789474,0,0,2.26315789473684,481.135135135135,0,0
0,0,0,0,48.375,0,0,0,849.831081081081,0,0
0,0,0,0,0,0,63.1836734693877,0,0,0,0
0,0,0,0,0,0,0,0,0,351.818181818182,0
0,0,2.03684210526316,0,140.032894736842,0,0,0,0,310.772727272727,0
0,0,2.03684210526316,0,129.848684210526,0,0,0,0,0,0
1,0,0,1.97448979591837,0,0,0,0,0,629.363636363636,258
0,0,0,0,0,0,0,0,0,557.045454545455,0
0,0,0,0,2.54605263157895,0,0,0,0,195.454545454545,0
0,0,0,0,96.75,0,1.57959183673469,0,0,539.454545454545,242.823529411765
0,0,0,0,28.0065789473684,0,0,0,0,254.090909090909,194.764705882353
0,0,0,0,0,0,0,0,643.256756756757,0,0
0,0,0,0,66.1973684210526,0,1.57959183673469,0,128.128378378378,0,0
0,0,0,0,22.9144736842105,0,0,0,520.358108108108,0,0
0,0,0,0,0,0,0,0,0,64.5,0
0,0,0,0,0,0,0,0,0,600.045454545455,37.9411764705882
0,0,0,0,0,0,0,0,0,592.227272727273,0
0,0,0,0,61.1052631578947,0,0,0,0,0,0
1,0,0,0,96.75,0,0,0,2.61486486486486,1067.18181818182,139.117647058824
1,0,0,0,35.6447368421053,0,0,0,0,408.5,25.2941176470588
0,0,0,0,68.7434210526316,0,0,0,0,0,0
0,0,0,0,28.0065789473684,0,0,0,0,33.2272727272727,10.1176470588235
0,0,0,0,127.302631578947,0,0,0,151.662162162162,0,0
0,0,2.03684210526316,0,155.309210526316,3.66824644549763,0,0,232.722972972973,0,0
0,0,0,0,17.8223684210526,0,0,0,193.5,0,0
0,0,2.03684210526316,0,10.1842105263158,0,139.004081632653,0,39.222972972973,0,0
1,0,0,0,96.75,0,0,0,2.61486486486486,492.545454545455,771.470588235294
0,0,4.07368421052632,0,56.0131578947368,0,0,0,0,605.909090909091,738.588235294118
1,0,0,0,0,0,0,0,0,408.5,215
0,0,0,0,20.3684210526316,0,3.15918367346939,0,1014.56756756757,0,0
0,0,8.14736842105263,1.97448979591837,323.348684210526,0,6.31836734693878,0,1843.47972972973,0,0
1,0,0,0,0,0,0,0,0,416.318181818182,215
0,0,0,0,56.0131578947368,1.83412322274882,7.89795918367347,20.3684210526316,313.783783783784,0,0
0,0,0,0,22.9144736842105,0,0,0,520.358108108108,0,0
0,0,4.07368421052632,0,15.2763157894737,0,11.0571428571429,0,441.912162162162,0,0
0,0,8.14736842105263,0,384.453947368421,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,64.5,0
0,0,2.03684210526316,0,5.09210526315789,0,0,0,1644.75,0,0
0,0,0,0,2.54605263157895,0,4.73877551020408,0,2.61486486486486,832.636363636364,235.235294117647
74,0,4.07368421052632,0,0,0,3.15918367346939,208.210526315789,0,9.77272727272727,0
0,1.74324324324324,0,0,2.54605263157895,0,777.159183673469,0,0,0,0
0,0,0,0,0,0,1.57959183673469,0,0,1063.27272727273,341.470588235294
2,0,0,0,114.572368421053,0,0,0,0,871.727272727273,265.588235294118
0,0,0,0,127.302631578947,0,0,0,151.662162162162,0,0
0,0,2.03684210526316,0,28.0065789473684,0,0,0,0,0,0
0,0,0,0,35.6447368421053,0,0,0,0,0,0
0,0,0,0,7.63815789473684,0,0,0,73.2162162162162,0,0
0,0,0,0,28.0065789473684,0,0,0,0,0,0
0,0,0,0,2.54605263157895,0,0,47.5263157894737,156.891891891892,0,20.2352941176471
0,0,0,0,0,0,0,0,232.722972972973,0,0
0,0,0,0,50.9210526315789,0,0,0,0,0,12.6470588235294
0,0,0,0,0,0,0,0,211.804054054054,0,0
0,0,0,0,48.375,0,0,0,245.797297297297,0,0
0,0,2.03684210526316,0,84.0197368421053,0,0,2.26315789473684,256.256756756757,0,0
0,0,0,0,91.6578947368421,0,0,0,198.72972972973,0,0
0,0,0,0,0,0,48.9673469387755,0,188.27027027027,0,0
2,0,2.03684210526316,0,73.8355263157895,0,0,0,0,1264.59090909091,705.705882352941
0,0,4.07368421052632,0,40.7368421052632,0,0,0,164.736486486486,0,0
0,0,6.11052631578947,0,81.4736842105263,0,0,0,128.128378378378,0,0
1,0,0,0,0,0,0,0,0,232.590909090909,0
2,0,0,0,0,0,0,0,0,412.409090909091,0
0,0,0,0,0,0,30.0122448979592,0,0,0,0
0,0,0,0,0,0,18.9551020408163,0,0,0,0
0,0,4.07368421052632,0,15.2763157894737,0,11.0571428571429,0,441.912162162162,0,0
0,0,0,0,30.5526315789474,0,0,0,154.277027027027,0,0
0,0,0,0,48.375,0,0,0,245.797297297297,0,0
0,0,0,0,0,0,0,0,73.2162162162162,0,0
0,0,0,0,22.9144736842105,0,0,0,88.9054054054054,0,0
0,0,0,0,0,0,66.3428571428571,0,0,0,0
0,0,0,0,28.0065789473684,0,0,0,101.97972972973,0,0
0,0,0,0,43.2828947368421,0,0,0,0,0,0
0,0,0,0,91.6578947368421,0,0,0,198.72972972973,0,0
0,0,0,0,38.1907894736842,0,0,0,387,0,0
0,0,0,0,38.1907894736842,0,0,2.26315789473684,154.277027027027,0,0
1,0,0,0,0,0,0,0,5.22972972972973,1049.59090909091,872.647058823529
0,0,2.03684210526316,0,73.8355263157895,0,0,0,321.628378378378,0,0
0,0,0,3.94897959183673,0,0,63.1836734693877,0,0,0,0
0,0,0,0,0,0,0,0,0,277.545454545455,0
0,0,0,5.9234693877551,7.63815789473684,0,206.926530612245,0,0,0,0
0,0,0,0,0,0,0,0,0,387,0
0,0,0,0,0,0,90.0367346938775,0,0,0,0
0,0,0,0,0,0,50.5469387755102,0,0,0,0
0,0,0,0,0,0,0,0,0,603.954545454545,96.1176470588235
0,50.5540540540541,0,39.4897959183673,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,363.545454545455,0
0,0,0,51.3367346938776,0,0,58.4448979591837,0,0,0,0
0,0,2.03684210526316,0,35.6447368421053,0,0,0,159.506756756757,0,0
0,0,0,0,94.2039473684211,0,0,0,201.344594594595,0,0
0,0,0,0,0,0,3.15918367346939,0,269.331081081081,0,0
0,0,0,0,0,0,0,0,28.7635135135135,0,0
0,0,0,0,127.302631578947,0,0,0,151.662162162162,0,0
0,0,2.03684210526316,0,73.8355263157895,0,0,0,321.628378378378,0,0
0,0,0,0,43.2828947368421,0,0,0,222.263513513514,0,0
0,0,2.03684210526316,0,94.2039473684211,0,0,0,606.648648648649,0,0
0,0,0,0,0,0,0,0,2.61486486486486,924.5,789.176470588235
0,0,14.2578947368421,0,58.5592105263158,0,0,0,371.310810810811,0,0
0,0,0,0,28.0065789473684,0,0,6.78947368421053,405.304054054054,0,0
0,0,0,0,28.0065789473684,0,0,0,101.97972972973,0,0
0,0,0,0,0,0,1.57959183673469,0,151.662162162162,0,0
0,0,0,0,0,0,0,0,60.1418918918919,0,0
0,0,0,0,20.3684210526316,0,0,0,52.2972972972973,0,0
0,0,0,0,165.493421052632,0,0,0,392.22972972973,0,0
0,0,0,0,89.1118421052632,0,0,0,0,377.227272727273,263.058823529412
0,0,0,0,81.4736842105263,0,72.6612244897959,0,31.3783783783784,0,0
0,0,0,0,5.09210526315789,0,0,0,0,297.090909090909,172
0,0,0,0,0,0,0,0,0,349.863636363636,295.941176470588
0,0,0,0,73.8355263157895,0,0,0,0,1174.68181818182,1221.70588235294
1,0,0,0,0,0,0,0,5.22972972972973,1049.59090909091,872.647058823529
0,0,0,0,0,0,0,0,426.222972972973,0,0
0,0,0,0,43.2828947368421,0,0,0,2.61486486486486,478.863636363636,485.647058823529
0,0,0,0,0,0,0,0,0,390.909090909091,450.235294117647
0,0,0,0,0,0,0,0,2.61486486486486,146.590909090909,146.705882352941
0,0,6.11052631578947,1.97448979591837,117.118421052632,5.50236966824645,11.0571428571429,29.4210526315789,980.574324324324,15.6363636363636,0
0,0,6.11052631578947,1.97448979591837,117.118421052632,5.50236966824645,11.0571428571429,29.4210526315789,980.574324324324,15.6363636363636,0
0,0,0,0,0,0,0,0,0,625.454545454545,0
0,0,0,0,20.3684210526316,0,0,0,219.648648648649,0,0
1,0,6.11052631578947,0,61.1052631578947,0,22.1142857142857,2.26315789473684,577.885135135135,0,0
0,0,0,0,0,0,67.9224489795918,0,0,0,0
0,0,0,5.9234693877551,7.63815789473684,0,206.926530612245,0,0,0,0
1,0,0,0,0,0,0,0,0,1813.81818181818,0
1,0,0,0,0,0,0,0,0,598.090909090909,22.7647058823529
0,0,0,0,30.5526315789474,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,603.954545454545,0
0,0,0,0,0,0,0,0,0,603.954545454545,96.1176470588235
0,0,0,0,0,0,236.938775510204,0,0,0,0
0,0,0,0,0,0,0,0,0,363.545454545455,0
0,0,2.03684210526316,0,25.4605263157895,0,0,0,0,60.5909090909091,15.1764705882353
0,0,36.6631578947368,0,114.572368421053,0,14.2163265306122,43,224.878378378378,0,0
0,0,2.03684210526316,0,35.6447368421053,0,0,4.52631578947368,237.952702702703,0,0
0,0,0,0,28.0065789473684,0,0,0,428.837837837838,0,0
0,0,0,0,73.8355263157895,0,0,0,120.283783783784,0,0
0,0,0,0,35.6447368421053,0,0,0,230.108108108108,0,0
0,0,0,0,81.4736842105263,0,72.6612244897959,0,31.3783783783784,0,0
0,0,2.03684210526316,0,56.0131578947368,1.83412322274882,0,0,394.844594594595,0,0
0,0,0,0,0,0,0,0,0,574.636363636364,493.235294117647
0,0,0,0,28.0065789473684,0,0,6.78947368421053,405.304054054054,0,0
0,0,0,0,7.63815789473684,0,58.4448979591837,0,298.094594594595,0,0
0,0,0,0,43.2828947368421,0,0,0,222.263513513514,0,0
0,0,0,0,0,0,0,0,0,390.909090909091,450.235294117647
0,0,0,0,56.0131578947368,0,0,0,509.898648648649,0,0
0,0,8.14736842105263,1.97448979591837,7.63815789473684,0,0,0,776.614864864865,0,0
0,0,0,0,0,0,0,0,75.8310810810811,0,0
0,0,0,0,5.09210526315789,0,0,0,190.885135135135,0,0
0,0,0,0,45.828947368421,0,0,0,198.72972972973,0,0
1,0,0,0,0,0,0,0,0,357.681818181818,0
0,0,0,0,0,0,0,0,0,482.772727272727,0
0,0,0,0,0,0,0,0,0,484.727272727273,0
0,0,0,0,0,0,0,0,0,205.227272727273,0
0,0,0,0,0,0,0,0,0,703.636363636364,0
0,0,0,5.9234693877551,7.63815789473684,0,206.926530612245,0,0,0,0
1,0,0,0,0,0,31.5918367346939,0,0,0,0
0,0,2.03684210526316,0,109.480263157895,0,0,2.26315789473684,428.837837837838,0,0
0,0,0,0,58.5592105263158,0,0,0,0,0,0
1,0,0,0,0,0,0,0,2.61486486486486,342.045454545455,313.647058823529
0,0,0,0,0,0,0,0,0,1262.63636363636,0
0,0,0,0,114.572368421053,0,0,0,0,84.0454545454545,45.5294117647059
0,0,0,0,5.09210526315789,0,0,0,109.824324324324,0,0
0,0,0,0,0,0,0,0,57.527027027027,0,0
0,0,0,0,0,0,0,0,65.3716216216216,0,0
0,0,0,0,0,0,0,0,122.898648648649,0,0
0,0,0,0,0,0,0,0,253.641891891892,0,0
0,0,0,0,0,0,20.534693877551,0,245.797297297297,0,0
0,0,0,0,0,0,0,0,326.858108108108,0,0
0,0,8.14736842105263,3.94897959183673,43.2828947368421,0,3.15918367346939,0,0,0,0
0,0,0,0,0,0,0,0,75.8310810810811,0,0
0,0,0,0,10.1842105263158,0,0,0,41.8378378378378,0,0
2,0,0,0,20.3684210526316,0,0,0,802.763513513513,0,0
0,0,0,0,20.3684210526316,0,0,0,112.439189189189,0,0
0,0,0,0,0,0,0,0,326.858108108108,0,0
0,0,0,0,33.0986842105263,0,0,9.05263157894737,177.810810810811,0,0
0,0,0,0,56.0131578947368,0,0,0,0,0,0
0,0,2.03684210526316,0,96.75,0,0,0,355.621621621622,0,0
0,0,36.6631578947368,0,140.032894736842,0,0,0,750.466216216216,0,0
0,0,0,0,7.63815789473684,0,0,0,0,375.272727272727,166.941176470588
0,0,0,0,5.09210526315789,0,0,0,162.121621621622,1.95454545454545,0
0,0,0,0,25.4605263157895,0,0,0,572.655405405405,0,0
0,0,0,0,0,0,0,0,0,158.318181818182,108.764705882353
0,0,2.03684210526316,0,53.4671052631579,0,0,0,0,541.409090909091,225.117647058824
0,0,0,0,25.4605263157895,0,0,0,0,138.772727272727,207.411764705882
1,0,0,0,0,0,0,0,0,33.2272727272727,45.5294117647059
0,0,0,0,0,0,0,0,120.283783783784,0,0
0,0,0,71.0816326530612,0,0,60.0244897959184,0,392.22972972973,0,0
0,0,2.03684210526316,0,203.684210526316,0,1.57959183673469,0,0,394.818181818182,847.352941176471
1,0,0,0,0,0,0,0,0,506.227272727273,576.705882352941
1,0,0,0,0,0,0,0,2.61486486486486,342.045454545455,313.647058823529
0,0,0,0,10.1842105263158,0,0,0,0,474.954545454545,144.176470588235
1,0,0,0,2.54605263157895,0,1.57959183673469,0,0,207.181818181818,40.4705882352941
3,0,0,0,73.8355263157895,0,0,4.52631578947368,0,0,0
0,0,0,0,0,0,0,0,198.72972972973,0,0
0,0,0,0,10.1842105263158,0,0,0,193.5,0,0
0,0,0,0,0,0,23.6938775510204,0,0,0,0
0,0,0,0,0,0,0,0,0,484.727272727273,0
1,0,0,0,0,0,0,0,0,766.181818181818,0
0,0,0,0,0,0,0,0,91.5202702702703,0,0
0,0,0,0,22.9144736842105,0,0,0,190.885135135135,0,0
0,0,0,0,0,0,0,0,169.966216216216,0,0
0,0,0,0,20.3684210526316,0,0,0,112.439189189189,0,0
0,0,0,0,0,0,0,0,227.493243243243,0,0
0,0,0,0,7.63815789473684,0,0,0,143.817567567568,0,0
0,0,0,0,30.5526315789474,0,0,29.4210526315789,54.9121621621622,5.86363636363636,0
0,0,0,0,73.8355263157895,0,0,0,303.324324324324,0,0
0,0,0,0,20.3684210526316,0,0,0,54.9121621621622,0,0
0,0,0,0,33.0986842105263,0,15.7959183673469,4.52631578947368,230.108108108108,0,0
0,0,0,0,86.5657894736842,0,0,0,57.527027027027,0,0
0,0,0,0,56.0131578947368,0,0,0,0,0,0
0,0,0,0,7.63815789473684,0,0,0,143.817567567568,0,0
2,0,0,0,12.7302631578947,0,0,0,0,428.045454545455,290.882352941176
0,0,0,0,0,0,0,0,248.412162162162,0,0
0,0,36.6631578947368,0,140.032894736842,0,0,0,750.466216216216,0,0
0,0,0,0,0,0,1.57959183673469,0,0,400.681818181818,263.058823529412
3,0,0,0,5.09210526315789,0,0,0,0,529.681818181818,194.764705882353
0,0,0,0,0,0,1.57959183673469,0,0,672.363636363636,710.764705882353
0,0,0,0,0,0,0,0,0,146.590909090909,65.7647058823529
0,0,0,0,5.09210526315789,0,0,0,2.61486486486486,254.090909090909,101.176470588235
0,0,0,0,0,0,0,0,54.9121621621622,0,0
1,0,0,0,0,0,0,0,0,33.2272727272727,45.5294117647059
0,0,0,0,0,0,33.1714285714286,0,0,0,0
0,0,0,0,22.9144736842105,0,3.15918367346939,0,462.831081081081,0,0
0,0,6.11052631578947,1.97448979591837,117.118421052632,5.50236966824645,11.0571428571429,29.4210526315789,980.574324324324,15.6363636363636,0
0,0,2.03684210526316,0,122.210526315789,0,4.73877551020408,0,0,392.863636363636,953.588235294118
0,0,0,0,0,5.50236966824645,18.9551020408163,0,0,0,0
0,0,0,0,0,0,3.15918367346939,0,245.797297297297,0,0
0,0,0,0,0,0,0,0,0,363.545454545455,0
0,0,0,0,0,1.83412322274882,0,11.3157894736842,384.385135135135,0,0
0,0,0,0,0,0,0,0,0,521.863636363636,0
0,0,0,0,0,0,0,0,0,236.5,0
0,0,0,0,0,0,0,0,0,304.909090909091,0
0,0,0,0,0,0,0,0,0,392.863636363636,0
0,0,8.14736842105263,0,45.828947368421,0,0,0,0,91.8636363636364,35.4117647058823
0,0,0,0,0,0,0,0,47.0675675675676,0,0
0,0,2.03684210526316,0,56.0131578947368,0,1.57959183673469,0,311.168918918919,0,0
0,0,0,0,2.54605263157895,0,0,0,39.222972972973,0,0
0,0,0,0,0,0,0,0,188.27027027027,0,0
0,0,0,0,22.9144736842105,0,0,0,130.743243243243,0,0
0,0,2.03684210526316,0,170.585526315789,0,0,0,15.6891891891892,0,0
0,0,2.03684210526316,0,124.756578947368,0,0,0,308.554054054054,0,0
0,0,0,0,0,0,0,0,41.8378378378378,0,0
0,0,10.1842105263158,0,25.4605263157895,0,0,0,185.655405405405,0,0
0,0,0,0,2.54605263157895,0,0,0,41.8378378378378,0,0
0,0,0,0,7.63815789473684,1.83412322274882,0,0,454.986486486486,0,0
0,0,0,0,12.7302631578947,0,1.57959183673469,0,658.945945945946,0,0
0,0,0,0,12.7302631578947,0,1.57959183673469,0,0,355.727272727273,323.764705882353
0,0,0,0,119.664473684211,0,0,0,0,340.090909090909,402.176470588235
0,0,0,0,7.63815789473684,0,41.069387755102,0,162.121621621622,0,0
0,0,0,0,2.54605263157895,0,0,92.7894736842105,402.689189189189,0,0
0,0,0,0,25.4605263157895,0,0,0,78.445945945946,0,0
0,0,0,0,15.2763157894737,0,0,0,193.5,0,0
1,0,0,0,0,0,0,0,0,654.772727272727,308.588235294118
0,0,0,0,15.2763157894737,0,0,0,2.61486486486486,801.363636363636,392.058823529412
0,0,0,0,5.09210526315789,0,0,0,0,572.681818181818,159.352941176471
2,0,0,0,12.7302631578947,0,0,0,0,428.045454545455,290.882352941176
0,0,0,0,5.09210526315789,0,0,0,0,316.636363636364,116.352941176471
0,0,2.03684210526316,0,78.9276315789474,0,0,0,0,0,0
0,0,2.03684210526316,0,22.9144736842105,1.83412322274882,0,0,1056.40540540541,0,0
0,0,2.03684210526316,0,206.230263157895,0,0,0,630.182432432432,0,0
0,0,0,0,0,0,0,0,0,291.227272727273,298.470588235294
0,0,0,0,7.63815789473684,0,0,0,141.202702702703,0,0
0,0,0,0,0,0,0,0,0,668.454545454545,564.058823529412
0,0,0,0,2.54605263157895,0,0,0,672.02027027027,0,0
0,0,0,0,25.4605263157895,0,0,0,585.72972972973,0,0
0,0,0,0,10.1842105263158,0,0,0,713.858108108108,0,0
0,0,0,0,12.7302631578947,0,1.57959183673469,0,0,355.727272727273,323.764705882353
0,0,0,0,119.664473684211,0,0,0,0,340.090909090909,402.176470588235
0,0,0,0,7.63815789473684,1.83412322274882,0,0,454.986486486486,0,0
0,0,0,0,0,0,0,0,2.61486486486486,1012.45454545455,804.352941176471
0,0,24.4421052631579,0,2.54605263157895,0,0,0,211.804054054054,0,0
0,0,0,0,25.4605263157895,0,0,0,585.72972972973,0,0
0,0,0,0,2.54605263157895,0,0,0,672.02027027027,0,0
0,0,0,0,0,0,0,0,0,291.227272727273,298.470588235294
0,0,0,0,7.63815789473684,0,0,0,141.202702702703,0,0
0,0,0,0,68.7434210526316,0,0,0,203.959459459459,0,0
0,0,0,0,50.9210526315789,0,0,0,269.331081081081,0,0
1,0,0,0,0,0,0,0,0,361.590909090909,0
1,0,0,0,0,0,0,0,0,445.636363636364,0
1,0,0,0,0,0,0,0,0,408.5,0
0,0,0,0,0,0,0,0,0,424.136363636364,0
0,0,2.03684210526316,0,7.63815789473684,0,0,0,70.6013513513514,0,0
0,0,0,1.97448979591837,0,0,0,0,0,609.818181818182,113.823529411765
0,0,0,0,2.54605263157895,0,0,0,101.97972972973,0,0
0,0,0,0,7.63815789473684,0,0,0,39.222972972973,0,0
0,0,0,0,0,0,0,0,49.6824324324324,0,0
0,0,2.03684210526316,0,56.0131578947368,0,1.57959183673469,0,311.168918918919,0,0
0,0,0,0,0,0,0,0,52.2972972972973,0,0
0,0,0,0,33.0986842105263,0,0,0,99.3648648648649,0,0
0,0,0,0,0,0,0,0,44.4527027027027,0,0
0,0,0,0,17.8223684210526,0,0,0,99.3648648648649,0,0
0,0,0,0,114.572368421053,0,0,0,878.594594594595,0,0
0,0,0,0,0,0,0,0,31.3783783783784,0,0
0,0,0,0,17.8223684210526,0,0,0,0,232.590909090909,98.6470588235294
0,0,0,0,0,0,0,0,342.547297297297,0,0
0,0,0,0,119.664473684211,0,25.2734693877551,0,787.074324324324,0,0
0,0,0,0,12.7302631578947,0,0,4.52631578947368,334.702702702703,0,0
0,0,0,0,0,0,0,0,96.75,0,0
0,0,2.03684210526316,0,73.8355263157895,0,0,0,183.040540540541,0,0
0,0,2.03684210526316,0,50.9210526315789,0,0,0,339.932432432432,0,0
0,0,0,0,0,0,25.2734693877551,0,0,0,0
0,0,0,0,0,0,4.73877551020408,0,219.648648648649,0,0
31,0,40.7368421052632,0,7.63815789473684,0,0,0,0,0,0
0,0,4.07368421052632,0,142.578947368421,0,0,0,823.682432432433,0,0
0,0,0,0,119.664473684211,0,25.2734693877551,0,787.074324324324,0,0
1,0,0,7.89795918367347,101.842105263158,0,0,0,180.425675675676,0,0
0,0,2.03684210526316,0,104.388157894737,0,0,0,211.804054054054,1.95454545454545,0
0,0,0,0,0,0,1.57959183673469,0,0,293.181818181818,265.588235294118
0,0,124.247368421053,0,43.2828947368421,0,0,0,0,0,0
0,0,0,0,140.032894736842,0,0,0,271.945945945946,0,0
1,0,6.11052631578947,0,78.9276315789474,0,0,0,0,398.727272727273,344
0,0,4.07368421052632,0,96.75,0,0,0,713.858108108108,0,0
0,0,2.03684210526316,0,58.5592105263158,0,0,0,1189.76351351351,0,0
0,0,0,0,28.0065789473684,0,0,0,316.398648648649,0,0
0,0,0,0,25.4605263157895,0,0,0,146.432432432432,0,0
31,0,40.7368421052632,0,7.63815789473684,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,474.954545454545,422.411764705882
1,0,6.11052631578947,0,112.026315789474,0,1.57959183673469,0,0,615.681818181818,847.352941176471
0,0,0,0,351.355263157895,0,22.1142857142857,0,0,0,0
0,0,0,0,17.8223684210526,0,0,0,648.486486486486,0,0
0,0,0,0,0,0,12.6367346938776,0,311.168918918919,0,0
0,0,2.03684210526316,0,104.388157894737,0,0,0,585.72972972973,0,0
13,0,42.7736842105263,1.97448979591837,73.8355263157895,0,0,18.1052631578947,784.459459459459,0,0
0,0,0,0,25.4605263157895,0,0,0,33.9932432432432,0,0
1,0,0,0,0,0,1.57959183673469,0,0,729.045454545455,903
0,0,105.915789473684,0,333.532894736842,0,0,0,507.283783783784,0,0
0,0,2.03684210526316,0,58.5592105263158,0,0,0,1189.76351351351,0,0
